,ticker,officerName,officerPosition,officerOwnPercent
5,VCB,Nguyễn Thanh Tùng,Tổng Giám đốc,0.0
4,VCB,Nguyễn Thanh Tùng,Thành viên Hội đồng Quản trị,0.0
7,VCB,Lê Thị Kim Nga,Thành viên Hội đồng Quản trị,0.0
16,VCB,Nguyễn Thị Kim Oanh,Thành viên Hội đồng Quản trị,0.0
9,VCB,Đỗ Thị Mai Hương,Thành viên Ban kiểm soát,0.0
10,VCB,Lê Hoàng Tùng,Phó Tổng Giám đốc,0.0
13,VCB,Đào Minh Tuấn,Phó Tổng Giám đốc,0.0
0,VCB,Đậu Thị Thúy Vân,,0.0
1,VCB,Đàm Lam Thanh,,0.0
2,VCB,Nghiêm Xuân Thành,,0.0
3,VCB,Nguyễn Danh Lương,,0.0
6,VCB,Nguyễn Mỹ Hào,,0.0
8,VCB,Đào Hảo,,0.0
11,VCB,Lê Thị Hoa,,0.0
12,VCB,Nghiêm Thị Thúy,,0.0
14,VCB,Nguyễn Hòa Bình,,0.0
15,VCB,Trương Lệ Hiền,,0.0
17,VCB,Nguyễn Thị Tâm,,0.0
18,VCB,Nguyễn Thu Hà,,0.0
19,VCB,Nguyễn Hồng Thắng,,0.0
