,ticker,officerName,officerPosition,officerOwnPercent
2,VGI,Phùng Văn Cường,Tổng Giám đốc,0.0
1,VGI,Nguyễn Thị Hải Lý,Thành viên Hội đồng Quản trị,0.0
15,VGI,Nguyễn Cao Lợi,Thành viên Hội đồng Quản trị,0.0
18,VGI,Nguyễn Đức Quang,Thành viên Hội đồng Quản trị,0.0
16,VGI,Nguyễn Cao Lợi,Phó Tổng Giám đốc,0.0
19,VGI,Nguyễn Đức Quang,Phó Tổng Giám đốc,0.0
0,VGI,Nguyễn Thị Hải Lý,Phó Chủ tịch Hội đồng Quản trị,0.0
8,VGI,ĐÀO XUÂN VŨ,Chủ tịch Hội đồng Quản trị,0.0
3,VGI,Nguyễn Thị Thanh Dung,,0.0
4,VGI,Hoàng Sơn,,0.0
5,VGI,Tào Đức Thắng,,0.0
6,VGI,Lê Đăng Dũng,,0.0
7,VGI,Lê Đăng Dũng,,0.0
9,VGI,Nguyễn Thanh Nam,,0.0
10,VGI,Đào Thúy Hường,,0.0
11,VGI,Đỗ Mạnh Hùng,,0.0
12,VGI,Tống Khánh Linh,,0.0
13,VGI,Hà Thế Dương,,0.0
14,VGI,Phan Thanh Sang,,0.0
17,VGI,Phạm Hoàng Điệp,,0.0
