,ticker,officerName,officerPosition,officerOwnPercent
4,VHM,Nguyễn Thị Thu Hằng,Người phụ trách quản trị công ty,0.0
0,VHM,Tống Thị Mùi,,0.0
1,VHM,Trần Kiên Cường,,0.0
2,VHM,Phạm Thị Tuyết Mai,,0.0
3,VHM,Nguyễn Vũ Hưng,,0.0
5,VHM,Lê Tiến Công,,0.0
6,VHM,Hồ  Thị Thu Hằng,,0.0
7,VHM,Nguyễn Hữu Thanh,,0.0
8,VHM,Nguyễn Hữu Thanh,,0.0
9,VHM,ĐẶNG THỊ THU PHƯƠNG,,0.0
10,VHM,Cao Thị Hà An,,0.0
11,VHM,Varun Kapur,,0.0
12,VHM,Mueen Uddeen,,0.0
13,VHM,Nguyễn Đức Quang,,0.0
14,VHM,Douglas Farrell,,0.0
15,VHM,Nguyễn Ngọc Thúy Linh,,0.0
16,VHM,Phạm Khôi Nguyên,,0.0
17,VHM,Đoàn Thị Thu Mai,,0.0
18,VHM,Lê Thị Duyên,,0.0
19,VHM,Nguyễn Văn Trai,,0.0
