,ticker,officerName,officerPosition,officerOwnPercent
1,VIB,Đỗ Xuân Hoàng,Chủ tịch Hội đồng Quản trị,0.0496
0,VIB,Đặng Khắc Vỹ,,0.0495
2,VIB,Trần Thị Thảo Hiền,,0.0494
8,VIB,Nguyễn Thị Nhất Thảo,,0.049
3,VIB,Đặng Thị Thu Hà,,0.0274
9,VIB,Trần Đức Quý,,0.0132
4,VIB,Đỗ Xuân Thụ,,0.013
5,VIB,Đỗ Xuân Sơn,,0.0128
6,VIB,,,0.0128
7,VIB,Nguyễn Thị Bích Hạnh,Thành viên Hội đồng Quản trị độc lập,0.0099
10,VIB,Trần Thị Thu Hương,,0.0065
11,VIB,Hồ Vân Long,,0.0045
12,VIB,Đặng Văn Sơn,,0.0038
17,VIB,Lê Thị Phiệt,,0.0036
13,VIB,Đỗ Thu Giang,,0.0028
14,VIB,Ân Thanh Sơn,,0.0022
19,VIB,Đỗ Xuân Hà,,0.0022
16,VIB,Hàn Ngọc Vũ,Tổng Giám đốc,0.0021
15,VIB,Hàn Ngọc Vũ,Thành viên Hội đồng Quản trị,0.0021
18,VIB,,,0.0017
