,ticker,officerName,officerPosition,officerOwnPercent
0,VIC,Phạm Nhật Vượng,Chủ tịch Hội đồng Quản trị,0.1787
1,VIC,Phạm Thu Hương,Phó Chủ tịch Hội đồng Quản trị,0.0447
2,VIC,Phạm Thúy Hằng,Phó Chủ tịch Hội đồng Quản trị,0.0299
5,VIC,Phan Thu Hương,,0.0125
3,VIC,Phạm Hồng Linh,,0.0036
4,VIC,Nguyễn Quốc Thành,,0.0033
6,VIC,Phạm Thị Tuyết Mai,,0.0016
8,VIC,PHẠM VĂN KHƯƠNG,Phó Tổng Giám đốc,0.0006
7,VIC,Lê Minh Ngọc,,0.0006
9,VIC,Phan Quang Đăng,,0.0003
11,VIC,NGUYỄN DIỆU LINH,Phụ trách Công bố thông tin,0.0002
10,VIC,NGUYỄN DIỆU LINH,Phó Chủ tịch Hội đồng Quản trị,0.0002
12,VIC,Phạm Minh Vũ,,0.0002
13,VIC,DƯƠNG THỊ HOÀN,,0.0002
14,VIC,Nguyễn Việt Quang,,0.0002
15,VIC,Phan Hồng Nhung,,0.0001
16,VIC,Đặng Thanh Thủy,,0.0001
17,VIC,Nguyễn Thế Anh,Trưởng Ban kiểm soát,0.0
18,VIC,Nguyễn Thị Thu Hiền,Kế toán trưởng,0.0
19,VIC,Dương Thị Hằng,,0.0
