,ticker,officerName,officerPosition,officerOwnPercent
0,VJC,NGUYỄN THỊ PHƯƠNG THẢO,Chủ tịch Hội đồng Quản trị,0.0876
1,VJC,Nguyễn Thanh Hùng,Thành viên Hội đồng Quản trị,0.0099
2,VJC,Lưu Đức Khánh,Thành viên Hội đồng Quản trị,0.0017
4,VJC,Lưu Đức Khánh,Phụ trách Công bố thông tin,0.0017
3,VJC,Lưu Đức Khánh,Giám đốc khối,0.0017
5,VJC,Nguyễn Cảnh Sơn,,0.0017
8,VJC,ĐINH VIỆT PHƯƠNG,Tổng Giám đốc,0.0012
7,VJC,ĐINH VIỆT PHƯƠNG,Thành viên Hội đồng Quản trị,0.0012
6,VJC,ĐINH VIỆT PHƯƠNG,ROOT,0.0012
9,VJC,ĐINH VIỆT PHƯƠNG,Người đại diện theo pháp luật,0.0012
10,VJC,Nguyễn Đức Thịnh,,0.0008
12,VJC,NGUYỄN THANH HÀ,Thành viên Hội đồng Quản trị,0.0006
11,VJC,NGUYỄN THANH HÀ,Phó Chủ tịch Hội đồng Quản trị,0.0006
13,VJC,ĐOÀN THU HƯƠNG,,0.0005
14,VJC,Đỗ Kim Thịnh,,0.0004
17,VJC,Tô Việt Thắng,ROOT,0.0003
18,VJC,Tô Việt Thắng,Phó Tổng Giám đốc,0.0003
15,VJC,Trần Hoài Nam,,0.0003
16,VJC,Nguyễn Thị Thúy Bình,,0.0003
19,VJC,Nguyễn Thị Bảo Anh,,0.0002
