,ticker,officerName,officerPosition,officerOwnPercent
1,VNM,Mai Kiều Liên,Tổng Giám đốc,0.0031
0,VNM,Mai Kiều Liên,Thành viên Hội đồng Quản trị,0.0031
2,VNM,Mai Kiều Liên,Phụ trách Công bố thông tin,0.0031
3,VNM,Nguyễn Thị Thanh Hòa,,0.0005
4,VNM,Trần Minh Văn,,0.0004
5,VNM,,,0.0003
7,VNM,Lê Thành Liêm,Kế toán trưởng,0.0002
6,VNM,Mai Hoài Anh,,0.0002
8,VNM,Nguyễn Thị Như Hằng,,0.0002
14,VNM,Nguyễn Hữu Ngọc Trân,,0.0002
12,VNM,Trịnh Quốc Dũng,Giám đốc điều hành Phát triển vùng nguyên vật liệu,0.0001
15,VNM,Bùi Thị Hương,Giám đốc Điều hành Nhân sự - Hành chính,0.0001
11,VNM,Trịnh Quốc Dũng,Giám đốc,0.0001
9,VNM,Dương Thị Ngọc Trinh,,0.0001
10,VNM,Nguyễn Minh Ân,,0.0001
13,VNM,Lê Quang Thanh Trúc,,0.0001
16,VNM,Phan Minh Tiên,,0.0001
17,VNM,Phạm Phú Tuấn,,0.0001
18,VNM,Nguyễn Trung Kiên,,0.0
19,VNM,Nguyễn Thị Tuyết Mai,,0.0
