,ticker,officerName,officerPosition,officerOwnPercent
0,VPB,NGÔ CHÍ DŨNG,Chủ tịch Hội đồng Quản trị,0.0487
1,VPB,Hoàng Anh Minh,,0.0485
2,VPB,Vũ Thị Quyên,,0.0483
3,VPB,Kim Ngọc Cẩm Ly,,0.0425
4,VPB,Lý Thị Thu Hà,,0.0418
10,VPB,Trần Ngọc Lan,,0.0406
11,VPB,Lê Việt Anh,,0.0377
12,VPB,Nguyễn Phương Hoa,,0.0376
5,VPB,Nguyễn Thu Thủy,,0.0302
6,VPB,BÙI HẢI QUÂN,Phó Chủ tịch Hội đồng Quản trị,0.0232
8,VPB,Nguyễn Đức Vinh,Tổng Giám đốc,0.0156
7,VPB,Nguyễn Đức Vinh,Thành viên Hội đồng Quản trị,0.0156
9,VPB,,,0.0088
13,VPB,Trần Ngọc Bê,,0.0077
14,VPB,Đỗ Quỳnh Ngân,,0.0065
15,VPB,Nguyễn Đức Giang,,0.004
16,VPB,Ngô Minh Phương,,0.0016
17,VPB,Lưu Thị Thảo,Phó Tổng Giám đốc,0.0015
18,VPB,Lô Bằng Giang,Phó Chủ tịch Hội đồng Quản trị,0.0012
19,VPB,Lô Hải Yến Ngọc,,0.0007
