,ticker,officerName,officerPosition,officerOwnPercent
1,VRE,Phạm  Thị Thu Hiền,Tổng Giám đốc,0.0
16,VRE,Trần Mai Hoa,Thành viên Hội đồng Quản trị,0.0
2,VRE,Phạm  Thị Thu Hiền,Phụ trách Công bố thông tin,0.0
5,VRE,Thái Thị Thanh Hải,Người đại diện theo pháp luật,0.0
0,VRE,Nguyễn Trường Thịnh,,0.0
3,VRE,Nguyễn Thu Phương,,0.0
4,VRE,Trần Thu Hiền,,0.0
6,VRE,Nguyễn Thị Xuân Nghĩa,,0.0
7,VRE,Nguyễn Anh Dũng,,0.0
8,VRE,Trần Thanh Tâm,,0.0
9,VRE,Bùi Tiến Lực,,0.0
10,VRE,Jeffrey David Perlman,,0.0
11,VRE,Phan Thanh Sơn,,0.0
12,VRE,Nguyễn Thế Anh,,0.0
13,VRE,Mai Thu Thủy,,0.0
14,VRE,Dương Thị Mai Hoa,,0.0
15,VRE,Trần Cao Châu,,0.0
17,VRE,Nguyễn Thị Dịu,,0.0
18,VRE,Lê Mai Lan,,0.0
19,VRE,Timothy Joseph Daly,,0.0
